coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate2,fpco2,rate,gross
CFAA1,280_31_1,31,280_31,286.83,31,pre,A,A,F,10.547,7.00E-03,total,0,280,0.333,0.669287478
CFAA14,400_28_1,28,400_28,408.25,28,cur,A,A,F,10.418,4.00E-03,total,0,400,0.079,0.556671711
CFAA2,280_28_1,28,280_28,302.69,28,pre,A,A,F,8.63,NA,total,0,280,-0.148,0.341069646
CFAA3,400_31_1,31.1,400_31,434.02,31,cur,A,A,F,10.159,NA,total,0,400,0.03,0.423911189
CFAA6,700_28_1,28,700_28,707.6,28,eoc,A,A,F,12.19,3.00E-03,total,0,700,-0.255,0.415097378
CFAA8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,A,F,11.967,3.00E-03,total,0,2800,-0.739,0.571292185
CFAB11,700_28_1,28,700_28,707.6,28,eoc,A,B,F,10.074,3.00E-03,total,0,700,-0.179,0.286636008
CFAB18,400_28_1,28,400_28,408.25,28,cur,A,B,F,9.132,5.00E-03,total,0,400,0.634,0.797572445
CFAB2,280_28_1,28,280_28,302.69,28,pre,A,B,F,10.698,4.00E-03,total,0,280,-0.018,0.397623789
CFAB3,400_31_1,31.1,400_31,434.02,31,cur,A,B,F,11.497,4.00E-03,total,0,400,-0.319,0.316149049
CFAB5,700_31_1,30.9,700_31,666.85,31,eoc,A,B,F,11.136,3.00E-03,total,0,700,-0.553,0.05759684
CFAB8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,F,9.958,2.00E-03,total,0,2800,-0.368,0.381832174
CFAC1,280_31_2,30.9,280_31,286.61,31,pre,A,C,F,8.561,4.00E-03,total,0,280,0.268,0.558409929
CFAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,F,9.083,2.00E-03,total,0,400,-0.449,0.174173237
CFAC2,280_28_2,27.9,280_28,314.65,28,pre,A,C,F,9.69,4.00E-03,total,0,280,0.101,0.435420139
CFAC3,400_31_2,31.1,400_31,447.02,31,cur,A,C,F,10.757,3.00E-03,total,0,400,0.104,0.505892594
CFAC5,700_31_2,30.9,700_31,677.35,31,eoc,A,C,F,11.743,NA,total,0,700,0.105,0.49580785
CFAC6,700_28_2,28.1,700_28,707.17,28,eoc,A,C,F,10.222,5.00E-03,total,0,700,-0.17,0.375100277
CFAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,F,9.302,3.00E-03,total,0,2800,0.079,0.700816451
CFAD12,400_28_2,28.1,400_28,400.02,28,cur,A,D,F,5.764,NA,total,0,400,-0.056,0.427824175
CFAD2,280_28_2,27.9,280_28,314.65,28,pre,A,D,F,8.646,4.00E-03,total,0,280,-0.399,0.243561932
CFAD5,700_31_2,30.9,700_31,677.35,31,eoc,A,D,F,9.903,3.00E-03,total,0,700,0.274,0.435671622
CFAD6,700_28_2,28.1,700_28,707.17,28,eoc,A,D,F,8.446,5.00E-03,total,0,700,-0.774,-0.067968282
CFAD8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,D,F,9.366,5.00E-03,total,0,2800,-0.713,0.176376785
CFAD9,400_28_3,28,400_28,405.52,28,cur,A,D,F,6.6,NA,total,0,400,0.056,0.298276678
CFAE10,280_31_3,30.9,280_31,291.58,31,pre,A,E,F,8.362,NA,total,0,280,0.118,0.405017238
CFAE15,280_28_3,27.9,280_28,317.27,28,pre,A,E,F,8.097,5.00E-03,total,0,280,0.09,0.522869834
CFAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,F,11.355,3.00E-03,total,0,2800,-0.745,0.261872093
CFAF2,280_28_3,27.9,280_28,317.27,28,pre,A,F,F,10.805,5.00E-03,total,0,280,0.111,0.472528348
CFAF3,400_31_3,31.1,400_31,459.07,31,cur,A,F,F,10.534,3.00E-03,total,0,400,-0.287,0.261191962
CFAF5,700_31_3,30.9,700_31,675.24,31,eoc,A,F,F,10.342,4.00E-03,total,0,700,-0.1,0.304700222
CFAF6,700_28_3,28.1,700_28,689.5,28,eoc,A,F,F,10.115,7.00E-03,total,0,700,0.223,0.586464165
CFAF8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,F,F,9.643,5.00E-03,total,0,2800,-0.879,0.380759792
CFAF9,400_28_3,28,400_28,405.52,28,cur,A,F,F,5.018,NA,total,0,400,0.29,0.549646418
CFPA1,280_31_1,31,280_31,286.83,31,pre,P,A,F,12.372,NA,total,0,280,0.685,0.839976987
CFPA10,2800_28_2,28.1,2800_28,3336.47,28,ext,P,A,F,14.24,NA,total,0,2800,0.117,0.768333013
CFPA11,400_31_2,31.1,400_31,447.02,31,cur,P,A,F,10.967,NA,total,0,400,-0.031,0.352945468
CFPA12,280_31_2,30.9,280_31,286.61,31,pre,P,A,F,18.462,0.018,total,0,280,0.633,0.738235286
CFPA2,280_28_1,28,280_28,302.69,28,pre,P,A,F,11.998,0.015,total,0,280,1.802,1.382323751
CFPA20,700_31_2,30.9,700_31,677.35,31,eoc,P,A,F,10.441,NA,total,0,700,0.257,0.452095395
CFPA21,280_28_2,27.9,280_28,314.65,28,pre,P,A,F,16.909,0.015,total,0,280,1.883,1.50174149
CFPA22,2800_31_2,30.9,2800_31,3301.59,31,ext,P,A,F,9.655,NA,total,0,2800,-0.265,0.669697773
CFPA3,400_31_1,31.1,400_31,434.02,31,cur,P,A,F,12.671,NA,total,0,400,-0.128,0.400372245
CFPA6,700_28_1,28,700_28,707.6,28,eoc,P,A,F,11.948,0.015,total,0,700,1.597,1.295549005
CFPA7,2800_31_1,30.9,2800_31,3258.29,31,ext,P,A,F,11.518,NA,total,0,2800,0.024,0.497493765
CFPA8,2800_28_1,28.1,2800_28,3369.78,28,ext,P,A,F,7.292,0.015,total,0,2800,-0.06,0.903923793
CFPA9,700_28_2,28.1,700_28,707.17,28,eoc,P,A,F,14.665,0.016,total,0,700,0.713,0.874728077
CFPB1,400_28_1,28,400_28,408.25,28,cur,P,B,F,7.942,NA,total,0,400,1.466,1.579900544
CFPB12,2800_28_1,28.1,2800_28,3369.78,28,ext,P,B,F,9.46,NA,total,0,2800,1.281,1.434994582
CFPB2,280_28_1,28,280_28,302.69,28,pre,P,B,F,10.94,NA,total,0,280,1.622,1.43535612
CFPB3,400_31_1,31.1,400_31,434.02,31,cur,P,B,F,12.899,NA,total,0,400,-0.504,0.187478573
CFPB5,700_31_1,30.9,700_31,666.85,31,eoc,P,B,F,9.71,NA,total,0,700,0.027,0.520539051
CFPB6,700_28_1,28,700_28,707.6,28,eoc,P,B,F,11.396,NA,total,0,700,2.018,1.609829973
CFPB7,2800_31_1,30.9,2800_31,3258.29,31,ext,P,B,F,8.536,NA,total,0,2800,-0.375,0.828633009
CFPB9,280_31_1,31,280_31,286.83,31,pre,P,B,F,9.076,NA,total,0,280,0.187,0.525849097
CFPC10,400_28_2,28.1,400_28,400.02,28,cur,P,C,F,10.171,0.03,total,0,400,-0.783,0.283427369
CFPC11,280_28_2,27.9,280_28,314.65,28,pre,P,C,F,12.342,NA,total,0,280,1.196,1.177701357
CFPC12,700_31_2,30.9,700_31,677.35,31,eoc,P,C,F,11.884,NA,total,0,700,-0.778,-0.049283117
CFPC2,280_28_2,27.9,280_28,314.65,28,pre,P,C,F,10.872,0.021,total,0,280,1.071,0.951253595
CFPC6,700_28_2,28.1,700_28,707.17,28,eoc,P,C,F,11.821,NA,total,0,700,1.066,1.169722728
CFPC8,2800_28_2,28.1,2800_28,3336.47,28,ext,P,C,F,10.075,0.019,total,0,2800,-0.725,0.520704494
CFPD1,280_31_2,30.9,280_31,286.61,31,pre,P,D,F,12.425,0.017,total,0,280,-0.159,0.377280068
CFPD11,2800_28_2,28.1,2800_28,3336.47,28,ext,P,D,F,7.24,NA,total,0,2800,-0.514,0.628974229
