,coral,tank,temp2,treat,pCO2,temp,pco2,species,colony,reefzone,SA,le,tp,rate,fpco2
197,CNAB12,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,N,6.944,1.00E-03,Pre,-0.195,2800
574,CNAB12,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,N,6.944,1.00E-03,T30,-0.631,2800
951,CNAB12,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,N,6.944,1.00E-03,T60,-1.363,2800
1328,CNAB12,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,N,6.944,1.00E-03,T90,-1.998,2800
1705,CNAB12,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,N,6.944,1.00E-03,total,-1.377,2800
16,CFAB8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,F,9.958,2.00E-03,Pre,0.854,2800
18,CFAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,F,9.083,2.00E-03,Pre,-0.106,400
131,CFSB7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,F,11.199,2.00E-03,Pre,0.594,2800
196,CNAB11,400_31_1,31.1,400_31,434.02,31,cur,A,B,N,7.304,2.00E-03,Pre,0.462,400
207,CNAC5,700_31_2,30.9,700_31,677.35,31,eoc,A,C,N,9.56,2.00E-03,Pre,1.069,700
210,CNAC8,2800_28_2,28.1,2800_28,3336.47,28,ext,A,C,N,10.829,2.00E-03,Pre,1.281,2800
225,CNAE8,2800_28_3,28.1,2800_28,3219.84,28,ext,A,E,N,7.201,2.00E-03,Pre,-0.052,2800
393,CFAB8,2800_28_1,28.1,2800_28,3369.78,28,ext,A,B,F,9.958,2.00E-03,T30,-0.097,2800
395,CFAC12,400_28_2,28.1,400_28,400.02,28,cur,A,C,F,9.083,2.00E-03,T30,-1.243,400
508,CFSB7,2800_31_1,30.9,2800_31,3258.29,31,ext,S,B,F,11.199,2.00E-03,T30,0.069,2800
