coral,treat,tank,temp,pco2,pCO2,ftemp,species,reefzone,colony,tod,dead,dead.NA,tod.pre
CFAA1,280_31,1,31,286.83,pre,31,A,F,a,90,0,0,110
CFAA14,400_28,10,28,408.25,cur,28,A,F,a,91,0,0,111
CFAA2,280_28,4,28,302.69,pre,28,A,F,a,90,0,0,110
CFAA3,400_31,7,31.1,434.02,cur,31,A,F,a,91,0,0,111
CFAA5,700_31,13,30.9,666.85,eoc,31,A,F,a,60,1,1,80
CFAA6,700_28,16,28,707.6,eoc,28,A,F,a,92,0,0,112
CFAA7,2800_31,19,30.9,3258.29,ext,31,A,F,a,29,1,1,49
CFAA8,2800_28,22,28.1,3369.78,ext,28,A,F,a,92,0,0,112
CFAB1,280_31,1,31,286.83,pre,31,A,F,B,1,1,NA,21
CFAB11,700_28,16,28,707.6,eoc,28,A,F,B,92,0,0,112
CFAB18,400_28,10,28,408.25,cur,28,A,F,B,91,0,0,111
CFAB2,280_28,4,28,302.69,pre,28,A,F,B,90,0,0,110
CFAB3,400_31,7,31.1,434.02,cur,31,A,F,B,91,0,0,111
CFAB5,700_31,13,30.9,666.85,eoc,31,A,F,B,91,0,0,111
CFAB7,2800_31,19,30.9,3258.29,ext,31,A,F,B,29,1,1,49
CFAB8,2800_28,22,28.1,3369.78,ext,28,A,F,B,92,0,0,112
CFAC1,280_31,2,30.9,286.61,pre,31,A,F,C,90,0,0,110
CFAC12,400_28,11,28.1,400.02,cur,28,A,F,C,91,0,0,111
CFAC2,280_28,5,27.9,314.65,pre,28,A,F,C,90,0,0,110
CFAC3,400_31,8,31.1,447.02,cur,31,A,F,C,91,0,0,111
CFAC5,700_31,14,30.9,677.35,eoc,31,A,F,C,91,0,0,111
CFAC6,700_28,17,28.1,707.17,eoc,28,A,F,C,92,0,0,112
CFAC7,2800_31,20,30.9,3301.59,ext,31,A,F,C,29,1,1,49
CFAC8,2800_28,23,28.1,3336.47,ext,28,A,F,C,92,0,0,112
CFAD1,280_31,2,30.9,286.61,pre,31,A,F,D,28,1,1,48
CFAD12,400_28,11,28.1,400.02,cur,28,A,F,D,91,0,0,111
CFAD2,280_28,5,27.9,314.65,pre,28,A,F,D,90,0,0,110
CFAD3,400_31,8,31.1,447.02,cur,31,A,F,D,59,1,1,79
CFAD5,700_31,14,30.9,677.35,eoc,31,A,F,D,91,0,0,111
CFAD6,700_28,17,28.1,707.17,eoc,28,A,F,D,92,0,0,112
CFAD7,2800_31,20,30.9,3301.59,ext,31,A,F,D,29,1,1,49
CFAD8,2800_28,23,28.1,3336.47,ext,28,A,F,D,92,0,0,112
CFAD9,400_28,12,28,405.52,cur,28,A,F,D,91,0,0,111
CFAE10,280_31,3,30.9,291.58,pre,31,A,F,E,90,0,0,110
CFAE15,280_28,6,27.9,317.27,pre,28,A,F,E,91,0,0,111
CFAE16,700_28,18,28.1,689.5,eoc,28,A,F,E,29,1,1,49
CFAE5,700_31,15,30.9,675.24,eoc,31,A,F,E,60,1,1,80
CFAE8,2800_28,24,28.1,3219.84,ext,28,A,F,E,92,0,0,112
CFAF1,280_31,3,30.9,291.58,pre,31,A,F,F,59,1,1,79
CFAF2,280_28,6,27.9,317.27,pre,28,A,F,F,91,0,0,111
CFAF3,400_31,9,31.1,459.07,cur,31,A,F,F,91,0,0,111
CFAF5,700_31,15,30.9,675.24,eoc,31,A,F,F,92,0,0,112
CFAF6,700_28,18,28.1,689.5,eoc,28,A,F,F,92,0,0,112
CFAF7,2800_31,21,31,3295.97,ext,31,A,F,F,60,1,1,80
CFAF8,2800_28,24,28.1,3219.84,ext,28,A,F,F,92,0,0,112
CFAF9,400_28,12,28,405.52,cur,28,A,F,F,91,0,0,111
CFPA1,280_31,1,31,286.83,pre,31,P,F,A,90,0,0,110
CFPA10,2800_28,23,28.1,3336.47,ext,28,P,F,A,92,0,0,112
CFPA11,400_31,8,31.1,447.02,cur,31,P,F,A,91,0,0,111
CFPA12,280_31,2,30.9,286.61,pre,31,P,F,A,90,0,0,110
CFPA13,400_28,10,28,408.25,cur,28,P,F,A,2,1,NA,22
CFPA2,280_28,4,28,302.69,pre,28,P,F,A,90,0,0,110
CFPA20,700_31,14,30.9,677.35,eoc,31,P,F,A,91,0,0,111
CFPA21,280_28,5,27.9,314.65,pre,28,P,F,A,90,0,0,110
CFPA22,2800_31,20,30.9,3301.59,ext,31,P,F,A,92,0,0,112
CFPA3,400_31,7,31.1,434.02,cur,31,P,F,A,91,0,0,111
CFPA5,700_31,13,30.9,666.85,eoc,31,P,F,A,60,1,1,80
CFPA6,700_28,16,28,707.6,eoc,28,P,F,A,92,0,0,112
CFPA7,2800_31,19,30.9,3258.29,ext,31,P,F,A,92,0,0,112
CFPA8,2800_28,22,28.1,3369.78,ext,28,P,F,A,92,0,0,112
CFPA9,700_28,17,28.1,707.17,eoc,28,P,F,A,92,0,0,112
CFPB1,400_28,10,28,408.25,cur,28,P,F,B,91,0,0,111
CFPB12,2800_28,22,28.1,3369.78,ext,28,P,F,B,92,0,0,112
CFPB2,280_28,4,28,302.69,pre,28,P,F,B,90,0,0,110
CFPB3,400_31,7,31.1,434.02,cur,31,P,F,B,91,0,0,111
CFPB5,700_31,13,30.9,666.85,eoc,31,P,F,B,91,0,0,111
CFPB6,700_28,16,28,707.6,eoc,28,P,F,B,92,0,0,112
CFPB7,2800_31,19,30.9,3258.29,ext,31,P,F,B,92,0,0,112
CFPB9,280_31,1,31,286.83,pre,31,P,F,B,90,0,0,110
CFPC1,280_31,2,30.9,286.61,pre,31,P,F,C,28,1,1,48
CFPC10,400_28,11,28.1,400.02,cur,28,P,F,C,91,0,0,111
CFPC11,280_28,5,27.9,314.65,pre,28,P,F,C,90,0,0,110
CFPC12,700_31,14,30.9,677.35,eoc,31,P,F,C,91,0,0,111
CFPC2,280_28,5,27.9,314.65,pre,28,P,F,C,90,0,0,110
CFPC3,400_31,8,31.1,447.02,cur,31,P,F,C,1,1,NA,21
CFPC6,700_28,17,28.1,707.17,eoc,28,P,F,C,92,0,0,112
CFPC7,2800_31,20,30.9,3301.59,ext,31,P,F,C,3,1,NA,23
CFPC8,2800_28,23,28.1,3336.47,ext,28,P,F,C,92,0,0,112
CFPC9,400_31,8,31.1,447.02,cur,31,P,F,C,59,1,1,79
CFPD1,280_31,2,30.9,286.61,pre,31,P,F,D,90,0,0,110
CFPD11,2800_28,23,28.1,3336.47,ext,28,P,F,D,92,0,0,112
CFPD2,280_28,5,27.9,314.65,pre,28,P,F,D,90,0,0,110
CFPD3,400_31,8,31.1,447.02,cur,31,P,F,D,59,1,1,79
CFPD5,700_31,14,30.9,677.35,eoc,31,P,F,D,91,0,0,111
CFPD6,400_28,11,28.1,400.02,cur,28,P,F,D,91,0,0,111
CFPD7,2800_31,20,30.9,3301.59,ext,31,P,F,D,92,0,0,112
CFPD8,2800_28,23,28.1,3336.47,ext,28,P,F,D,92,0,0,112
CFPD9,700_28,17,28.1,707.17,eoc,28,P,F,D,92,0,0,112
CFPE1,280_31,3,30.9,291.58,pre,31,P,F,E,59,1,1,79
CFPE10,280_28,4,28,302.69,pre,28,P,F,E,90,0,0,110
CFPE12,700_28,17,28.1,707.17,eoc,28,P,F,E,92,0,0,112
CFPE14,280_28,5,27.9,314.65,pre,28,P,F,E,90,0,0,110
CFPE15,2800_28,23,28.1,3336.47,ext,28,P,F,E,3,1,NA,23
CFPE16,2800_31,20,30.9,3301.59,ext,31,P,F,E,29,1,1,49
CFPE18,400_31,8,31.1,447.02,cur,31,P,F,E,28,1,1,48
CFPE2,280_28,6,27.9,317.27,pre,28,P,F,E,91,0,0,111
CFPE20,280_31,2,30.9,286.61,pre,31,P,F,E,28,1,1,48
CFPE26,700_31,14,30.9,677.35,eoc,31,P,F,E,29,1,1,49
CFPE27,400_28,12,28,405.52,cur,28,P,F,E,2,1,NA,22
CFPE3,400_31,9,31.1,459.07,cur,31,P,F,E,59,1,1,79
CFPE40,2800_28,22,28.1,3369.78,ext,28,P,F,E,92,0,0,112
CFPE41,700_31,14,30.9,677.35,eoc,31,P,F,E,29,1,1,49
CFPE42,2800_28,22,28.1,3369.78,ext,28,P,F,E,92,0,0,112
CFPE5,700_31,15,30.9,675.24,eoc,31,P,F,E,60,1,1,80
CFPE6,700_28,18,28.1,689.5,eoc,28,P,F,E,92,0,0,112
CFPE7,2800_31,21,31,3295.97,ext,31,P,F,E,60,1,1,80
CFPE8,2800_28,24,28.1,3219.84,ext,28,P,F,E,92,0,0,112
CFPF1,280_31,3,30.9,291.58,pre,31,P,F,F,90,0,0,110
CFPF2,280_28,6,27.9,317.27,pre,28,P,F,F,91,0,0,111
CFPF3,400_31,9,31.1,459.07,cur,31,P,F,F,59,1,1,79
CFPF5,400_28,12,28,405.52,cur,28,P,F,F,59,1,1,79
CFPF6,700_28,18,28.1,689.5,eoc,28,P,F,F,92,0,0,112
CFPF7,2800_31,21,31,3295.97,ext,31,P,F,F,92,0,0,112
CFPF8,2800_28,24,28.1,3219.84,ext,28,P,F,F,92,0,0,112
CFPF9,700_31,14,30.9,677.35,eoc,31,P,F,F,60,1,1,80
CFSA1,280_31,1,31,286.83,pre,31,S,F,A,90,0,0,110
CFSA10,2800_28,22,28.1,3369.78,ext,28,S,F,A,92,0,0,112
CFSA14,280_28,4,28,302.69,pre,28,S,F,A,90,0,0,110
CFSA2,400_28,10,28,408.25,cur,28,S,F,A,91,0,0,111
CFSA3,400_31,7,31.1,434.02,cur,31,S,F,A,91,0,0,111
CFSA5,700_31,13,30.9,666.85,eoc,31,S,F,A,91,0,0,111
CFSA6,700_28,16,28,707.6,eoc,28,S,F,A,92,0,0,112
CFSA7,2800_31,19,30.9,3258.29,ext,31,S,F,A,92,0,0,112
CFSB1,280_31,1,31,286.83,pre,31,S,F,B,90,0,0,110
CFSB10,400_31,7,31.1,434.02,cur,31,S,F,B,91,0,0,111
CFSB13,400_28,10,28,408.25,cur,28,S,F,B,91,0,0,111
CFSB2,280_28,4,28,302.69,pre,28,S,F,B,90,0,0,110
CFSB3,2800_28,22,28.1,3369.78,ext,28,S,F,B,92,0,0,112
CFSB5,700_31,13,30.9,666.85,eoc,31,S,F,B,91,0,0,111
CFSB6,700_28,16,28,707.6,eoc,28,S,F,B,92,0,0,112
CFSB7,2800_31,19,30.9,3258.29,ext,31,S,F,B,92,0,0,112
CFSC14,400_28,11,28.1,400.02,cur,28,S,F,C,91,0,0,111
